"smi_time","smi_type","smi_sxl","smi_sxr","smi_syl","smi_syr","smi_dxl","smi_dxr","smi_dyl","smi_dyr","smi_exl","smi_exr","smi_eyl","smi_eyr","smi_ezl","smi_ezr"
1068466338,"b",814,814,528,528,462,463,462,463,42.687,-24.452,40.523,38.489,711.848,716.54
1068466340,"b",807,807,527,527,457,469,457,469,42.684,-24.438,40.521,38.463,711.805,716.076
1068466342,"b",811,811,527,527,464,459,464,459,42.644,-24.48,40.521,38.42,711.618,715.837
1068466344,"b",820,820,526,526,462,461,462,461,42.6,-24.557,40.539,38.435,711.634,715.976
1068466346,"b",817,817,524,524,462,461,462,461,42.596,-24.562,40.539,38.442,711.645,716.116
1068466348,"b",817,817,525,525,460,463,460,463,42.558,-24.569,40.519,38.45,711.505,716.262
1068466350,"b",817,817,524,524,461,460,461,460,42.548,-24.573,40.512,38.458,711.367,716.407
1068466352,"b",820,820,525,525,463,461,463,461,42.465,-24.578,40.495,38.466,711.159,716.551
1068466354,"b",822,822,525,525,458,465,458,465,42.453,-24.582,40.483,38.474,710.953,716.693
1068466356,"b",822,822,526,526,466,463,466,463,42.441,-24.587,40.471,38.481,710.752,716.834
1068466358,"b",821,821,526,526,466,462,466,462,42.428,-24.592,40.46,38.489,710.558,716.974
1068466360,"b",822,822,527,527,461,462,461,462,42.416,-24.596,40.448,38.496,710.369,717.112
1068466362,"b",821,821,529,529,460,469,460,469,42.404,-24.601,40.438,38.504,710.189,717.249
1068466364,"b",821,821,531,531,466,465,466,465,42.394,-24.606,40.428,38.511,710.012,717.386
1068466366,"b",816,816,532,532,463,460,463,460,42.383,-24.61,40.418,38.518,709.838,717.52
1068466368,"b",816,816,534,534,462,463,462,463,42.373,-24.615,40.408,38.525,709.664,717.654
1068466370,"b",813,813,533,533,463,465,463,465,42.363,-24.619,40.399,38.533,709.488,717.787
1068466372,"b",811,811,534,534,465,465,465,465,42.352,-24.623,40.389,38.54,709.318,717.919
1068466374,"b",810,810,535,535,462,469,462,469,42.342,-24.628,40.379,38.546,709.148,718.049
1068466376,"b",808,808,536,536,463,462,463,462,42.333,-24.632,40.369,38.553,708.973,718.178
1068466378,"b",807,807,537,537,463,460,463,460,42.323,-24.636,40.359,38.56,708.799,718.306
1068466380,"b",806,806,538,538,463,464,463,464,42.313,-24.641,40.349,38.567,708.621,718.433
1068466382,"b",805,805,539,539,466,463,466,463,42.302,-24.645,40.339,38.574,708.447,718.557
1068466384,"b",804,804,539,539,465,462,465,462,42.293,-24.649,40.329,38.58,708.271,718.682
1068466386,"b",804,804,538,538,463,464,463,464,42.283,-24.654,40.319,38.587,708.094,718.806
1068466388,"b",804,804,538,538,463,463,463,463,42.292,-24.658,40.321,38.593,707.796,718.928
1068466390,"b",803,803,538,538,464,462,464,462,42.274,-24.662,40.304,38.6,707.499,719.049
1068466392,"b",802,802,539,539,468,461,468,461,42.257,-24.666,40.287,38.606,707.205,719.169
1068466394,"b",802,802,539,539,464,466,464,466,42.239,-24.67,40.27,38.612,706.913,719.288
1068466396,"b",801,801,539,539,463,461,463,461,42.222,-24.674,40.253,38.618,706.622,719.405
1068466398,"b",801,801,539,539,467,465,467,465,42.205,-24.678,40.237,38.624,706.335,719.521
1068466400,"b",801,801,541,541,461,462,461,462,42.188,-24.682,40.22,38.63,706.049,719.637
1068466402,"b",802,802,542,542,465,460,465,460,42.171,-24.686,40.204,38.637,705.766,719.752
1068466404,"b",801,801,542,542,463,464,463,464,42.209,-24.69,40.216,38.643,705.682,719.863
1068466406,"b",801,801,542,542,465,466,465,466,42.204,-24.693,40.212,38.648,705.603,719.973
1068466408,"b",802,802,542,542,465,468,465,468,42.202,-24.696,40.234,38.654,705.529,720.077
1068466410,"b",802,802,542,542,465,466,465,466,42.198,-24.699,40.23,38.66,705.458,720.176
1068466412,"b",802,802,544,544,462,460,462,460,42.195,-24.702,40.226,38.665,705.392,720.271
1068466414,"b",802,802,544,544,466,465,466,465,42.192,-24.705,40.223,38.67,705.329,720.363
1068466416,"b",803,803,544,544,466,466,466,466,42.188,-24.707,40.219,38.675,705.267,720.447
1068466418,"b",801,801,544,544,465,464,465,464,42.185,-24.71,40.216,38.679,705.207,720.531
1068466420,"b",801,801,544,544,469,463,469,463,42.182,-24.691,40.213,38.701,705.151,720.513
1068466422,"b",800,800,543,543,465,464,465,464,42.213,-24.69,40.232,38.699,705.227,720.498
